time,open,high,low,close,tick_volume,line_y,point_y,signal
2025-01-06 07:15:00,157.751,157.797,157.739,157.769,924,157.67566666666667,,
2025-01-06 07:30:00,157.769,157.784,157.737,157.753,828,157.67747619047617,,
2025-01-06 07:45:00,157.754,157.774,157.718,157.767,750,157.67852380952382,,
2025-01-06 08:00:00,157.768,157.781,157.697,157.705,763,157.68457142857145,,
2025-01-06 08:15:00,157.706,157.737,157.644,157.678,982,157.69138095238094,,
2025-01-06 08:30:00,157.677,157.697,157.618,157.659,1146,157.69471428571427,157.797,
2025-01-06 08:45:00,157.658,157.71,157.619,157.644,1048,157.69571428571427,157.79342,
2025-01-06 09:00:00,157.642,157.643,157.573,157.607,1104,157.69580952380952,157.7899116,
2025-01-06 09:15:00,157.606,157.614,157.545,157.55,911,157.69390476190478,157.78123513600002,
2025-01-06 09:30:00,157.551,157.631,157.522,157.606,975,157.69185714285715,157.76706102784001,
2025-01-06 09:45:00,157.606,157.683,157.598,157.65,933,157.68838095238092,157.7474561456128,
2025-01-06 10:00:00,157.652,157.711,157.606,157.666,1228,157.68642857142856,157.7294196539638,
2025-01-06 10:15:00,157.666,157.753,157.643,157.694,1280,157.68685714285715,,
2025-01-06 10:30:00,157.694,157.752,157.656,157.73,1068,157.68976190476192,,
2025-01-06 10:45:00,157.73,157.749,157.628,157.652,1137,157.68509523809524,,
2025-01-06 11:00:00,157.653,157.711,157.578,157.695,2035,157.68471428571428,,
2025-01-06 11:15:00,157.696,157.728,157.664,157.678,1038,157.68338095238096,,
2025-01-06 11:30:00,157.68,157.694,157.651,157.691,963,157.6827619047619,,
2025-01-06 11:45:00,157.693,157.756,157.665,157.726,1159,157.68480952380952,,
2025-01-06 12:00:00,157.725,157.745,157.673,157.726,978,157.68552380952383,,
2025-01-06 12:15:00,157.726,157.862,157.726,157.846,829,157.69009523809524,,
2025-01-06 12:30:00,157.848,157.864,157.821,157.841,946,157.6935238095238,,
2025-01-06 12:45:00,157.84,157.906,157.828,157.892,899,157.70014285714285,,
2025-01-06 13:00:00,157.892,157.953,157.57,157.652,1593,157.69466666666665,157.953,
2025-01-06 13:15:00,157.661,157.68,157.324,157.34,2717,157.67728571428572,157.953,sell
2025-01-06 13:30:00,157.335,157.383,157.157,157.349,3137,157.66161904761907,157.953,
2025-01-06 13:45:00,157.351,157.418,157.152,157.187,2318,157.63914285714287,157.90524,
2025-01-06 14:00:00,157.188,157.198,156.825,157.091,2757,157.61280952380952,157.8449808,
2025-01-06 14:15:00,157.091,157.158,156.953,157.009,1902,157.58433333333335,157.74298272,
2025-01-06 14:30:00,157.007,157.113,156.728,156.735,2441,157.54552380952381,157.65118444799998,
2025-01-06 14:45:00,156.733,156.853,156.605,156.774,2239,157.50590476190476,157.54040231424,
2025-01-06 15:00:00,156.772,156.8,156.511,156.511,2483,157.45166666666668,157.4094459902464,
2025-01-06 15:15:00,156.512,156.551,156.227,156.288,2575,157.38604761904762,157.26569463180698,
2025-01-06 15:30:00,156.288,156.716,156.282,156.657,2828,157.33666666666667,157.07872959808174,
2025-01-06 15:45:00,156.656,156.68,156.541,156.601,1891,157.28290476190475,156.92541827042703,
2025-01-06 16:00:00,156.603,156.8,156.454,156.786,2286,157.24166666666665,,
2025-01-06 16:15:00,156.788,157.34,156.786,157.165,4254,157.21642857142857,,
2025-01-06 16:30:00,157.163,157.411,157.087,157.316,2721,157.19919047619047,,buy
2025-01-06 16:45:00,157.316,157.322,157.148,157.271,2478,157.17919047619048,,
2025-01-06 17:00:00,157.268,157.518,157.183,157.406,2620,157.1639523809524,,
2025-01-06 17:15:00,157.406,157.595,157.395,157.553,2372,157.15571428571428,,
2025-01-06 17:30:00,157.554,157.635,157.516,157.615,2041,157.1447142857143,,
2025-01-06 17:45:00,157.618,157.644,157.465,157.521,2443,157.1294761904762,,
2025-01-06 18:00:00,157.52,157.536,157.406,157.472,1681,157.1094761904762,,
2025-01-06 18:15:00,157.471,157.488,157.378,157.379,1591,157.0964761904762,,
2025-01-06 18:30:00,157.378,157.465,157.335,157.452,1560,157.10180952380952,,
2025-01-06 18:45:00,157.452,157.6,157.429,157.533,1815,157.1105714285714,,
2025-01-06 19:00:00,157.532,157.562,157.487,157.546,1497,157.12766666666667,,
2025-01-06 19:15:00,157.545,157.553,157.494,157.517,875,157.14795238095238,,
2025-01-06 19:30:00,157.517,157.567,157.516,157.547,828,157.17357142857142,,
2025-01-06 19:45:00,157.547,157.587,157.456,157.497,1159,157.20985714285712,,
2025-01-06 20:00:00,157.497,157.659,157.49,157.608,1475,157.24957142857141,,
2025-01-06 20:15:00,157.607,157.61,157.423,157.439,807,157.2937619047619,157.659,
2025-01-06 20:30:00,157.44,157.526,157.419,157.5,932,157.35147619047618,157.659,
2025-01-06 20:45:00,157.5,157.545,157.44,157.527,1204,157.39290476190476,157.64939999999999,
2025-01-06 21:00:00,157.528,157.582,157.466,157.575,1208,157.43928571428575,157.64018399999998,
2025-01-06 21:15:00,157.576,157.577,157.512,157.52,752,157.47423809523812,157.63133663999997,
2025-01-06 21:30:00,157.522,157.526,157.462,157.497,836,157.49004761904763,157.62284317439997,
2025-01-06 21:45:00,157.497,157.565,157.478,157.535,971,157.50047619047618,157.61468944742398,
2025-01-06 22:00:00,157.536,157.536,157.481,157.511,829,157.51190476190476,157.60686186952702,sell
2025-01-06 22:15:00,157.509,157.585,157.508,157.571,756,157.5197619047619,157.59934739474593,
2025-01-06 22:30:00,157.572,157.624,157.569,157.6,791,157.522,,
2025-01-06 22:45:00,157.602,157.617,157.578,157.612,1047,157.52185714285713,,
2025-01-06 23:00:00,157.611,157.637,157.605,157.626,447,157.52685714285712,,
2025-01-06 23:15:00,157.625,157.649,157.585,157.587,554,157.53233333333333,,
2025-01-06 23:30:00,157.58,157.617,157.579,157.592,378,157.54247619047618,,sell
2025-01-06 23:45:00,157.592,157.64,157.561,157.561,511,157.5476666666667,,
2025-01-07 00:00:00,157.496,157.595,157.478,157.595,28,157.55061904761905,,
2025-01-07 00:15:00,157.595,157.616,157.576,157.579,94,157.55219047619048,,
2025-01-07 00:30:00,157.579,157.579,157.559,157.578,69,157.55509523809525,,
2025-01-07 00:45:00,157.577,157.626,157.571,157.599,288,157.5575714285714,,
2025-01-07 01:00:00,157.598,157.754,157.592,157.753,435,157.56976190476192,,
2025-01-07 01:15:00,157.753,157.785,157.743,157.76,591,157.577,,
2025-01-07 01:30:00,157.76,157.8,157.731,157.746,787,157.59161904761905,,
2025-01-07 01:45:00,157.746,157.786,157.7,157.732,930,157.60266666666666,,
2025-01-07 02:00:00,157.732,157.942,157.723,157.886,1871,157.6197619047619,,
2025-01-07 02:15:00,157.888,158.144,157.881,158.13,1888,157.64619047619047,,
2025-01-07 02:30:00,158.131,158.163,158.064,158.11,2039,157.6742857142857,,
